tensor(0.3531, dtype=torch.float64)
tensor(0.1260, dtype=torch.float64)
tensor(0.0802, dtype=torch.float64)
tensor(0.0636, dtype=torch.float64)
tensor(0.0898, dtype=torch.float64)
tensor(0.0926, dtype=torch.float64)
tensor(0.0644, dtype=torch.float64)
tensor(0.0671, dtype=torch.float64)
tensor(0.0736, dtype=torch.float64)
tensor(0.0459, dtype=torch.float64)
tensor(0.0575, dtype=torch.float64)
tensor(0.0671, dtype=torch.float64)
tensor(0.0762, dtype=torch.float64)
tensor(0.0687, dtype=torch.float64)
tensor(0.0486, dtype=torch.float64)
tensor(0.0717, dtype=torch.float64)
tensor(0.0577, dtype=torch.float64)
tensor(0.0495, dtype=torch.float64)
tensor(0.0689, dtype=torch.float64)
tensor(0.0310, dtype=torch.float64)
tensor(0.0486, dtype=torch.float64)
tensor(0.0250, dtype=torch.float64)
tensor(0.0543, dtype=torch.float64)
tensor(0.0438, dtype=torch.float64)
tensor(0.0470, dtype=torch.float64)
tensor(0.0465, dtype=torch.float64)
tensor(0.0559, dtype=torch.float64)
tensor(0.0631, dtype=torch.float64)
tensor(0.0325, dtype=torch.float64)
tensor(0.0325, dtype=torch.float64)
